INN	DF	ZONES	TYPE	ACTIVE
227660566320	01.07.2021	G	2017	Y
4387541157	01.07.2021	G	2017	Y
579601554699	01.07.2021	G	2020	Y
2611931207	01.07.2021	G	2020	Y
4970580948	01.07.2021	N	2020	Y
4691071097	01.07.2021	G	2020	Y
018184587217	01.07.2021	G	2020	Y
701167026567	01.07.2021	G	2020	Y
8580960492	01.07.2021	G	2020	Y
8754864917	01.07.2021	G	2017	N
583468035279	01.07.2021	G	2020	Y
2029812407	01.07.2021	G	2020	Y
8164410539	01.07.2021	B	2020	Y
8164410539	01.07.2021	N	2017	Y
5779709784	01.07.2021	G	2017	Y
7997336924	01.07.2021	N	2020	Y
925929274051	01.07.2021	B	2017	Y
147860679878	01.07.2021	N	2020	Y
5779709784	01.07.2021	B	2020	Y
8464580902	01.07.2021	G	2020	N
137175390694	01.07.2021	N	2020	Y
3815698066	01.07.2021	G	2020	Y
900399860887	01.07.2021	G	2020	Y
6581059845	01.07.2021	N	2017	Y
7743362088	01.07.2021	N	2020	Y
837934663463	01.07.2021	G	2020	N
145363944441	01.07.2021	G	2020	Y
334433729045	01.07.2021	B	2020	Y
7123117752	01.07.2021	G	2020	Y
837934663463	01.07.2021	N	2017	Y
306173632952	01.07.2021	G	2020	Y
6133874085	01.07.2021	G	2017	Y
4387541157	01.07.2021	N	2020	Y
6133874085	01.07.2021	N	2020	Y
1739921113	01.07.2021	G	2020	Y
9872688210	01.07.2021	B	2020	Y
441822854493	01.07.2021	G	2020	Y
141464922966	01.07.2021	G	2020	Y
8122561472	01.07.2021	N	2020	Y
6357833456	01.07.2021	N	2020	Y
147860679878	01.07.2021	G	2017	Y
898920213969	01.07.2021	G	2020	Y
0934137748	01.07.2021	G	2020	Y
701167026567	01.07.2021	G	2017	Y
950868863368	01.07.2021	G	2020	Y
4940955916	01.07.2021	G	2017	N
