INN	CRED	DF	OST
4691071097	9WOUK28D	01.07.2021	6364
145363944441	7PD85I57	01.07.2021	8635
147860679878	EORABMKW	01.07.2021	3676
306173632952	OA221YZA	01.07.2021	5565
137175390694	OWF4YATF	01.07.2021	9123
7123117752	44CGG80X	01.07.2021	1616
4387541157	ENQFCR0Q	01.07.2021	9244
4970580948	48F8RHGX	01.07.2021	3402
196733777359	080DYZVE	01.07.2021	7353
5787762049	PSK7GC3Z	01.07.2021	6947
145363944441	3FLT8CFV	01.07.2021	7398
6133874085	JD4ZNNQ4	01.07.2021	2789
018184587217	Q45D3OTQ	01.07.2021	2020
441822854493	DKD0VN7I	01.07.2021	9365
4691071097	EPH5H1GJ	01.07.2021	14232
950868863368	1VZ3TCSB	01.07.2021	9230
196733777359	EYGVBSAT	01.07.2021	10382
5787762049	ZLXM9E4Z	01.07.2021	12328
900399860887	BALTA5UA	01.07.2021	8974
227660566320	9M9NO065	01.07.2021	4465
441822854493	ORVD8FYH	01.07.2021	2587
1160782664	CWADIB3X	01.07.2021	5474
6133874085	MLUWEVX7	01.07.2021	4712
441822854493	41KB0O7I	01.07.2021	10824
197553400466	TILX77GJ	01.07.2021	6103
226457514910	AIY6TR2T	01.07.2021	1105
7424446757	MPKXWB01	01.07.2021	7438
137175390694	EPH5H1GJ	01.07.2021	6106
018184587217	RKZ81SAV	01.07.2021	11638
227660566320	48F8RHGX	01.07.2021	3728
196733777359	WP0QCBNT	01.07.2021	11740
334433729045	MIRIBFP4	01.07.2021	8447
2029812407	48F8RHGX	01.07.2021	11480
780797148923	B2E634FG	01.07.2021	13491
145363944441	B3O9SZ8F	01.07.2021	4180
145363944441	28CW5HSN	01.07.2021	1216
898920213969	ZGOT6AL8	01.07.2021	11022
137175390694	7Q8BKTZY	01.07.2021	4694
7424446757	HW1NQG17	01.07.2021	3618
441822854493	TRBUBVEB	01.07.2021	1443
459797763596	WRAGQZRT	01.07.2021	9145
837934663463	FUVP1NU3	01.07.2021	8501
837934663463	EV7P8XUE	01.07.2021	14375
1739921113	ABK81WSN	01.07.2021	13240
950868863368	57ZHC27W	01.07.2021	1103
107428961174	WRAGQZRT	01.07.2021	12003
018184587217	 9F4C77Q2	01.07.2021	5695
780797148923	9SGJ0C67	01.07.2021	10345
6133874085	RJC35NW6	01.07.2021	2877
0934137748	89C85OPB	01.07.2021	14697
6133874085	I4T2DJLR	01.07.2021	6462
579601554699	MV3V00PB	01.07.2021	2221
837934663463	6YRO18UF	01.07.2021	4487
900399860887	380KRXNM	01.07.2021	11048
4691071097	PBLE2RA0	01.07.2021	9250
441822854493	0451XMCS	01.07.2021	9492
950868863368	M90FODB2	01.07.2021	8999
459797763596	LOCE62L5	01.07.2021	13055
197553400466	NDZSBD20	01.07.2021	5944
4691071097	0C3FCUQ7	01.07.2021	14970
7997336924	GXXS39KI	01.07.2021	5351
1739921113	EWO1LRJA	01.07.2021	8369
196733777359	CN9ZOGIO	01.07.2021	2048
147860679878	KCF33876	01.07.2021	8659
1160782664	QTFKJYLC	01.07.2021	10073
018184587217	CZZRXFH0	01.07.2021	6212
107428961174	6W1F97ZZ	01.07.2021	5898
137175390694	YIPFI09D	01.07.2021	3321
7123117752	EIMB6JP3	01.07.2021	9627
7123117752	T3Q15BTA	01.07.2021	9427
5787762049	ALEFUEJT	01.07.2021	11205
107428961174	IC90DCHM	01.07.2021	14721
745643345730	2HO3Y05Z	01.07.2021	2661
745643345730	 AS35PKAZ	01.07.2021	9417
1160782664	H7BM72NO	01.07.2021	2123
2029812407	7VP7ID7Z	01.07.2021	12609
950868863368	M8W81LHR	01.07.2021	10992
3179029519	VHIHNY5O	01.07.2021	11645
3179029519	P7I3DMBK	01.07.2021	9285
5787762049	U8N7VDBN	01.07.2021	5505
1160782664	RTPLJEJX	01.07.2021	7146
441822854493	I0CPGMZD	01.07.2021	9499
898920213969	9OZ8NPU5	01.07.2021	7004
925929274051	M1Q750WE	01.07.2021	7759
145363944441	PY3CGMM7	01.07.2021	5133
306173632952	PL6BK557	01.07.2021	1543
780797148923	63HF5CB0	01.07.2021	10088
306173632952	LVBFIOA5	01.07.2021	12008
565476724238	I0CPGMZD	01.07.2021	12891
5787762049	28LIYL84	01.07.2021	10806
1160782664	G94VTCU5	01.07.2021	4247
6133874085	5V5H8LAJ	01.07.2021	1410
227660566320	X0HJ7GJD	01.07.2021	14486
925929274051	QCU9YSL3	01.07.2021	8734
0934137748	8QU5GCTR	01.07.2021	4974
780797148923	BBPRJIE7	01.07.2021	13127
137175390694	E4BTUHX4	01.07.2021	7445
226457514910	HW1NQG17	01.07.2021	9080
950868863368	QT5QBML0	01.07.2021	14058
898920213969	VFB2PUNI	01.07.2021	1230
1739921113	K4PGH145	01.07.2021	7229
290271991	I0CPGMZD	01.07.2021	10036
441822854493	1FN36K81	01.07.2021	9444
780797148923	5QBH5UPN	01.07.2021	4102
0934137748	TISDI9K6	01.07.2021	3337
950868863368	LTMNZNGS	01.07.2021	7879
197553400466	H83H6259	01.07.2021	12660
4970580948	ZLXM9E4Z	01.07.2021	8534
7123117752	EV7P8XUE	01.07.2021	5146
197553400466	SLIB2KQA	01.07.2021	14658
3179029519	V14AOX5J	01.07.2021	13354
197553400466	6X3FM24N	01.07.2021	13113
3179029519	EN242LJ9	01.07.2021	5794
227660566320	RT6GZRFV	01.07.2021	2009
441822854493	UYUXHOBX	01.07.2021	1481
565476724238	JXO62APD	01.07.2021	14978
071086331207	2OBX1DFF	01.07.2021	2656
0934137748	SCCPR50S	01.07.2021	10981
898920213969	PANWO7EY	01.07.2021	14858
1160782664	8NO9K4X1	01.07.2021	14317
107428961174	VJS4RKIL	01.07.2021	8645
4387541157	GBTZJKD7	01.07.2021	1454
8164410539	OQGANQKB	01.07.2021	10055
197553400466	7XGG6YND	01.07.2021	1604
227660566320	"772OBXL2

"	01.07.2021	3580
745643345730	8Z5YAPZA	01.07.2021	11684
780797148923	3OV36LLG	01.07.2021	11894
837934663463	BMRISBJT 	01.07.2021	8194
934137748	5KOLJ93T	01.07.2021	3530
4691071097	HIQWYG18	01.07.2021	9684
5779709784	8X2O3E59	01.07.2021	1097
4691071097	OM1A3OHN	01.07.2021	3168
145363944441	WUOKYTHX	01.07.2021	3431
8122561472	PL6BK557	01.07.2021	9191
147860679878	PBLE2RA0	01.07.2021	11322
018184587217	QTFKJYLC	01.07.2021	12531
780797148923	82KFGILF	01.07.2021	4322
2029812407	WY5KT4GV	01.07.2021	3819
7424446757	1FN36K8I	01.07.2021	11099
306173632952	AZP4EHXP	01.07.2021	12923
8122561472	PBJ95DBB	01.07.2021	13826
0290271991	ZPIUFBX0	01.07.2021	5154
6133874085	WP0QCBNT	01.07.2021	6702
8164410539	HD6A3NQQ	01.07.2021	7086
5779709784	01SF86OT	01.07.2021	6610
4691071097	FBJQNOXO	01.07.2021	5592
780797148923	4TI74NTR	01.07.2021	3733
0934137748	WLTFTZKL	01.07.2021	2501
950868863368	QTFKJYLC	01.07.2021	13161
837934663463	2OF8SYRL	01.07.2021	3195
7997336924	UVBKDMEN	01.07.2021	7148
950868863368	5KOLJ93T	01.07.2021	14082
227660566320	PL6BK557	01.07.2021	5045
441822854493	4Z482F8K	01.07.2021	6753
290271991	1NQ8TKQK	01.07.2021	11821
441822854493	77VNOF7B	01.07.2021	10447
226457514910	2QHYMNMM	01.07.2021	12978
459797763596	LAK9Q6QB	01.07.2021	2477
0290271991	0TF2YUC0	01.07.2021	10366
145363944441	L2GMO8ZE	01.07.2021	3590
107428961174	48F8RHGX	01.07.2021	4289
1739921113	DQ5Q5ECX	01.07.2021	14804
934137748	NDZSBD20	01.07.2021	11182
950868863368	BCF85QPW	01.07.2021	8842
107428961174	8JTCXHI7	01.07.2021	7537
107428961174	7NAEG0D7	01.07.2021	14409
950868863368	D8EB41UQ	01.07.2021	3084
145363944441	GNPTC4NN	01.07.2021	11888
107428961174	C95CYYCE	01.07.2021	11753
107428961174	MGDGA0X8	01.07.2021	3828
145363944441	W5ZZ43V7	01.07.2021	12157
197553400466	33JOBIKD	01.07.2021	14473
900399860887	5KOLJ93T	01.07.2021	11007
459797763596	CKECTKGS	01.07.2021	13280
7123117752	GXGKJ0MR	01.07.2021	1691
6133874085	QTFKJYLC	01.07.2021	13738
565476724238	R768ZPÎD	01.07.2021	11867
018184587217	GH56NCZA	01.07.2021	1094
107428961174	IX7AOPHI	01.07.2021	10087
107428961174	CVJQ7V5D	01.07.2021	8964
459797763596	HMCJYHKE	01.07.2021	1778
306173632952	DILLN0O3	01.07.2021	14516
306173632952	61MVPEJ7	01.07.2021	6199
196733777359	80DUSVLO	01.07.2021	9620
306173632952	KMLHCJ1T	01.07.2021	5614
7997336924	7RBW2YM4	01.07.2021	5656
306173632952	STVP1H2P	01.07.2021	2611
8122561472	7U5HPLX9	01.07.2021	10803
0290271991	9933HR38	01.07.2021	9527
6133874085	JQ754TBM	01.07.2021	10607
925929274051	9NEJGOVG	01.07.2021	4560
018184587217	L2GMO8ZE	01.07.2021	13366
147860679878	O62X6YW0	01.07.2021	9068
579601554699	9SGJ0C67	01.07.2021	7841
7424446757	UBJ5F6P9	01.07.2021	3233
147860679878	ZTJVDLNY	01.07.2021	7508
227660566320	J48UYARS	01.07.2021	14922
0934137748	EN8XYAJB	01.07.2021	6556
4970580948	RCSLSFE0	01.07.2021	11732
196733777359	YT7KZ5CJ	01.07.2021	6789
3211764647	TA65MJ0F	01.07.2021	1292
107428961174	BAETLDRB	01.07.2021	8170
3179029519	84DE4324	01.07.2021	3739
837934663463	CYY7LO8V	01.07.2021	13511
137175390694	ZVOGWCDQ	01.07.2021	4000
7123117752	XO56ZK6L	01.07.2021	9811
925929274051	B3KQRXT8	01.07.2021	3292
3211764647	8RY95GLS	01.07.2021	11520
780797148923	LOCE62L5	01.07.2021	13225
226457514910	M0MN61B0	01.07.2021	2531
145363944441	LTZK7KCV	01.07.2021	14743
950868863368	KZ61BA9T	01.07.2021	5193
7424446757	HJOWPSPN	01.07.2021	9118
898920213969	JW9TM06S	01.07.2021	14460
197553400466	NOAD6EB1	01.07.2021	6772
780797148923	KZ61BA9T	01.07.2021	11056
196733777359	VSRVV9CS	01.07.2021	12088
145363944441	NDZSBD20	01.07.2021	1303
780797148923	8CSF7SQ0	01.07.2021	7469
579601554699	BXY1P44U	01.07.2021	2247
7123117752	48F8RHGX	01.07.2021	6514
0934137748	DKD0VN7I	01.07.2021	7320
3211764647	1FN36K8I	01.07.2021	10560
1160782664	FWRH7VLL	01.07.2021	4368
3211764647	TGO3VGLF	01.07.2021	6768
3179029519	XMLEL1EJ	01.07.2021	3495
780797148923	8P4IBJSH	01.07.2021	14346
018184587217	0TCGFSS4	01.07.2021	4298
459797763596	9BBTNU64	01.07.2021	2139
5787762049	5LRWP4M8	01.07.2021	12799
441822854493	03H3M56B	01.07.2021	14259
8164410539	V9ECO0HN	01.07.2021	14735
950868863368	2QIÇ6WSA	01.07.2021	4853
018184587217	FOG3IBW4	01.07.2021	7238
306173632952	T8YKYAAD	01.07.2021	11718
145363944441	NOLM42RJ	01.07.2021	4129
7997336924	MH0KHHH3	01.07.2021	6321
018184587217	NV93N3ID	01.07.2021	7177
5787762049	ZD6R3EPU	01.07.2021	10431
441822854493	D9GN897T	01.07.2021	4194
137175390694	EORABMKW	01.07.2021	9651
0934137748	SQV4FYPU	01.07.2021	12520
5779709784	UGNOM9LP	01.07.2021	2529
3211764647	ZVR3NBB6	01.07.2021	13246
8164410539	576VNCGD	01.07.2021	10463
147860679878	OKQIFU0D	01.07.2021	1971
107428961174	6VLXB4GK	01.07.2021	8857
3179029519	ZLXM9E4Z	01.07.2021	8947
018184587217	PUM5P0YO	01.07.2021	12961
018184587217	0P3UOZDB	01.07.2021	11356
579601554699	1U96CMX3	01.07.2021	2853
071086331207	OCSUP90K	01.07.2021	12282
306173632952	XQ1BQPS6	01.07.2021	5274
4387541157	GBEK59NB	01.07.2021	3295
7424446757	00ZJD2DK	01.07.2021	7551
459797763596	YZLI0UGY	01.07.2021	13811
071086331207	AJ6CP3W1	01.07.2021	14502
780797148923	OCSUP90K	01.07.2021	13752
3179029519	CBW4A2WU	01.07.2021	5024
197553400466	4JYPQD4H	01.07.2021	11042
147860679878	10PY2QNG	01.07.2021	10022
145363944441	KEWTRIZD	01.07.2021	8924
071086331207	ZC9DT88E	01.07.2021	11637
900399860887	I8AOIVPH	01.07.2021	10678
5779709784	8W45IUFE	01.07.2021	13062
900399860887	C7EPDG4J	01.07.2021	10549
334433729045	VDLUGE1E	01.07.2021	14400
3179029519	4Z482F8K	01.07.2021	12442
147860679878	VQFMOVGC	01.07.2021	2474
334433729045	ÎUBVRECP	01.07.2021	2520
7424446757	8REEKRYJ?	01.07.2021	11547
4387541157	QTFKJYLC	01.07.2021	8161
565476724238	ZZCM6GAD	01.07.2021	5992
107428961174	"7ZM0X6AY
"	01.07.2021	14613
018184587217	VSRVV9CS	01.07.2021	4957
900399860887	GCCOSUNU	01.07.2021	7771
145363944441	M65WP071	01.07.2021	2568
4691071097	80DUSVLO	01.07.2021	1742
950868863368	N60CWPXV	01.07.2021	13806
8164410539	POXEZJ4G	01.07.2021	9887
745643345730	LK50P03B	01.07.2021	8566
227660566320	KHZVVHKH5	01.07.2021	1966
5787762049	ECOWE3GO 	01.07.2021	5046
145363944441	WN2N34QG	01.07.2021	11695
4691071097	XD3X96K0	01.07.2021	1303
900399860887	JUX0SHDQ	01.07.2021	1401
1160782664	LLOGI3OT	01.07.2021	2703
4691071097	SO6PWZVA	01.07.2021	6546
4970580948	UG4QI2L7	01.07.2021	11040
898920213969	6WQUOY4F	01.07.2021	10946
950868863368	54BVU63Q	01.07.2021	8122
1160782664	98DBT8LJ	01.07.2021	1118
306173632952	LOCE62L5	01.07.2021	10097
925929274051	8W45IUFE	01.07.2021	10801
745643345730	IXJH89KK	01.07.2021	2112
7997336924	I8F2Y0QQ	01.07.2021	8459
950868863368	XP5RCNT9	01.07.2021	12545
227660566320	SVXZ7ZFB	01.07.2021	1049
3211764647	9JNC91TF	01.07.2021	11383
780797148923	OCUQAYN8	01.07.2021	2564
5787762049	6KLMMOGA	01.07.2021	2277
6133874085	K4PGH145	01.07.2021	6819
145363944441	8NO9K4X1	01.07.2021	9223
4691071097	H7HMCKZ4	01.07.2021	6974
107428961174	FQ0F2YXW	01.07.2021	2236
8164410539	1LDCGI35	01.07.2021	1542
147860679878	590AM6TA	01.07.2021	4030
145363944441	CMWT4F5V	01.07.2021	12062
1160782664	2TN4P8TT	01.07.2021	11003
7424446757	XXH58RLJ	01.07.2021	10966
227660566320	ZDQFBIXU	01.07.2021	5829
950868863368	L2GMO8ZE	01.07.2021	13713
197553400466	JSJB1NU7	01.07.2021	10728
107428961174	WB388XWE	01.07.2021	7501
137175390694	INHHVYXP	01.07.2021	13019
837934663463	LHHOUQ0A	01.07.2021	12936
441822854493	QBEFR6CP	01.07.2021	9352
7424446757	VT86ORHV	01.07.2021	2997
579601554699	OM9DHHB1	01.07.2021	7626
0290271991	VX18021O	01.07.2021	9992
4387541157	EV7P8XUE	01.07.2021	9273
227660566320	56RLLJGI	01.07.2021	7197
3179029519	KCF33876	01.07.2021	5610
197553400466	VCJXT0BX	01.07.2021	9293
780797148923	CH2BLQOU	01.07.2021	14326
780797148923	BD7S6AFF	01.07.2021	4540
334433729045	ZLXM9E4Z	01.07.2021	10844
459797763596	54BVU63Q	01.07.2021	11871
137175390694	BNZSMKKE	01.07.2021	7619
745643345730	4TI74NTR	01.07.2021	12774
3179029519	VSRVV9CS	01.07.2021	2220
0934137748	P4NKEM7J	01.07.2021	1154
565476724238	EFFO6CSF	01.07.2021	5137
8164410539	S3859FMZ	01.07.2021	14059
5779709784	1TK1530I	01.07.2021	14753
071086331207	7WHIH9S6	01.07.2021	14209
4387541157	0R0L5YN3	01.07.2021	7641
107428961174	BQJ89QUG	01.07.2021	5345
780797148923	SXDBHPT5	01.07.2021	9213
579601554699	4JYPQD4H	01.07.2021	11907
1160782664	UD6SBHCK	01.07.2021	13103
441822854493	Q3LD7WDP	01.07.2021	6819
0290271991	48F8RHGX	01.07.2021	6230
459797763596	4JYPQD4H	01.07.2021	14690
441822854493	8W45IUFE	01.07.2021	12912
2029812407	WP0QCBNT	01.07.2021	13626
196733777359	"N09HISDD
"	01.07.2021	11597
1160782664	XEIWHO4Y	01.07.2021	3459
565476724238	10V6GF6O	01.07.2021	11201
441822854493	HQKJU015	01.07.2021	14017
197553400466	9NEJGOVG	01.07.2021	3889
6133874085	6Z329TO5	01.07.2021	1967
8122561472	JQZXZJ0Q	01.07.2021	11905
7424446757	3RPJRW6M	01.07.2021	6154
018184587217	5UR8CR59	01.07.2021	10005
4691071097	4Z482F8K	01.07.2021	5719
898920213969	W433Y34E	01.07.2021	13996
925929274051	0PT5I1LT	01.07.2021	3801
5779709784	4LNU3C72	01.07.2021	8830
8122561472	Z1KMLD5I	01.07.2021	2482
7123117752	446BMEFK	01.07.2021	10077
7123117752	U3CAI3L9	01.07.2021	12558
7424446757	HTNB6GY5	01.07.2021	9810
8164410539	LAWHQKQS	01.07.2021	13383
0290271991	Z2J1IBDX	01.07.2021	3850
137175390694	XQ1BQPS6	01.07.2021	10032
018184587217	B2F5QM6Y	01.07.2021	8829
